Model,TP,FN,FP,Precision,Recall,F1,AUC
IF iter-clean p=2 c=0.01 [new],80,18,110,0.42105263157894735,0.8163265306122449,0.5555555555555556,0.902055035888939
Ens LOF+IF+PCA c=0.015,41,57,10,0.803921568627451,0.41836734693877553,0.5503355704697986,0.90137496986071
Ens LOF+LOF2+IF+IF2 c=0.015 +fg2,42,56,13,0.7636363636363637,0.42857142857142855,0.5490196078431373,0.8999530136198678
Ens LOF+IF+OCSVM c=0.02 +fg2,47,51,27,0.6351351351351351,0.47959183673469385,0.5465116279069767,0.9174059808715973
Vote LOF+IF+OCSVM >=1/3,76,22,113,0.4021164021164021,0.7755102040816326,0.5296167247386759,
IF iter-clean p=1 c=0.03 [new],82,16,131,0.38497652582159625,0.8367346938775511,0.5273311897106109,0.8934336533765278
Vote L+I+P+O >=3/4,42,56,20,0.6774193548387096,0.42857142857142855,0.525,
Ens LOF+IF c=0.015,39,59,12,0.7647058823529411,0.3979591836734694,0.5234899328859061,0.9003888741197781
Ens LOF+LOF2+IF+IF2 c=0.015,39,59,12,0.7647058823529411,0.3979591836734694,0.5234899328859061,0.8999530136198678
Ens LOF+IF+OCSVM c=0.015 +fg5,42,56,21,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.9174059808715973
Ens LOF+IF+OCSVM c=0.015 +fg3,42,56,21,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.9174059808715973
IF iter-clean p=3 c=0.01 [new],82,16,138,0.37272727272727274,0.8367346938775511,0.5157232704402516,0.9030813173497209
Vote L+I+P+O >=1/4,76,22,122,0.3838383838383838,0.7755102040816326,0.5135135135135135,
Ens ALL c=0.015,38,60,13,0.7450980392156863,0.3877551020408163,0.5100671140939598,0.9122869384045652
Ens LOF+IF+PCA+OCSVM c=0.015 +fg2,39,59,16,0.7090909090909091,0.3979591836734694,0.5098039215686274,0.9187475656727399
Ens LOF+IF+PCA+OCSVM c=0.015 +fg3,39,59,16,0.7090909090909091,0.3979591836734694,0.5098039215686274,0.9187475656727399
Vote LOF+IF+OCSVM >=2/3,45,53,34,0.569620253164557,0.45918367346938777,0.5084745762711864,
Ens ALL c=0.015 +fg2,39,59,17,0.6964285714285714,0.3979591836734694,0.5064935064935064,0.9122869384045652
Ens LOF+IF+OCSVM c=0.02,42,56,26,0.6176470588235294,0.42857142857142855,0.5060240963855421,0.9174059808715973
Ens LOF+IF+PCA c=0.01,33,65,1,0.9705882352941176,0.336734693877551,0.5,0.90137496986071
Ens LOF+IF+IF2+PCA c=0.01,33,65,1,0.9705882352941176,0.336734693877551,0.5,0.9010503928926917
Ens ALL c=0.015 +fg5,39,59,20,0.6610169491525424,0.3979591836734694,0.4968152866242038,0.9122869384045652
Ens LOF+IF+PCA+OCSVM c=0.015 +fg5,39,59,20,0.6610169491525424,0.3979591836734694,0.4968152866242038,0.9187475656727399
Ens ALL c=0.015 +fg3,39,59,20,0.6610169491525424,0.3979591836734694,0.4968152866242038,0.9122869384045652
Ens LOF+IF+PCA+OCSVM c=0.015,37,61,14,0.7254901960784313,0.37755102040816324,0.4966442953020134,0.9187475656727399
IF iter-clean p=2 c=0.02 [new],84,14,179,0.3193916349809886,0.8571428571428571,0.46537396121883656,0.8947906942237664
Ens LOF+IF+OCSVM c=0.015 +fg2,36,62,21,0.631578947368421,0.3673469387755102,0.4645161290322581,0.9174059808715973
Ens LOF+IF+OCSVM c=0.015,34,64,17,0.6666666666666666,0.3469387755102041,0.4563758389261745,0.9174059808715973
Ens LOF+IF c=0.01,30,68,4,0.8823529411764706,0.30612244897959184,0.45454545454545453,0.9003888741197781
Ens ALL c=0.01,29,69,5,0.8529411764705882,0.29591836734693877,0.4393939393939394,0.9122869384045652
Ens LOF+LOF2+IF+IF2 c=0.01,29,69,5,0.8529411764705882,0.29591836734693877,0.4393939393939394,0.8999530136198678
Ens LOF+IF+PCA+OCSVM c=0.01,28,70,6,0.8235294117647058,0.2857142857142857,0.42424242424242425,0.9187475656727399
IF iter-clean p=2 c=0.03 [new],84,14,242,0.25766871165644173,0.8571428571428571,0.39622641509433965,0.8973656715033788
Ens LOF+IF+OCSVM c=0.01,26,72,8,0.7647058823529411,0.2653061224489796,0.3939393939393939,0.9174059808715973
IF iter-clean p=3 c=0.02 [new],83,15,249,0.25,0.8469387755102041,0.386046511627907,0.8958880734965904
Vote LOF+IF >=2/2,19,79,1,0.95,0.19387755102040816,0.3220338983050847,
IF iter-clean p=3 c=0.03 [new],85,13,366,0.188470066518847,0.8673469387755102,0.30965391621129323,0.8942311853550873
Vote LOF+IF+OCSVM >=3/3,18,80,1,0.9473684210526315,0.1836734693877551,0.3076923076923077,
Vote L+L2+I+I2 >=4/4,17,81,1,0.9444444444444444,0.17346938775510204,0.29310344827586204,
Vote LOF+IF+PCA >=3/3,13,85,1,0.9285714285714286,0.1326530612244898,0.23214285714285715,
Vote L+I+P+O >=4/4,12,86,1,0.9230769230769231,0.12244897959183673,0.21621621621621623,
